,average,XP,standard,energy,RMS,PulseFactor,ClearanceFactor,Kurtosis,freq_arggmax,freq_sum,power_sum,power_mean,energy_sum,IMFs_1_energy,IMFs_2_energy,IMFs_3_energy,IMFs_4_energy,IMFs_5_energy,label
signal_0,50.556035303771495,86.8774442970753,55.99272204929247,1880419.7048836933,55.982433329329496,1.718438634973305,0.0339907713223135,-1.5213680773880347,23654.11058015586,44512.84622584211,1880419.7048836937,3134.032841472823,1128251822.9302163,704703.2326737728,898211.780661987,3906.164821434506,3108.6866181422047,187.28332655460045,0
signal_1,50.46895837912957,95.7275428175926,55.74480704306673,1864607.36983321,55.74655998106086,1.896760818768529,0.0375827217300545,-1.5344638820721779,23570.458476475284,40683.28977886089,1864607.3698332107,3107.678949722018,1118764421.8999267,744105.2207030157,780287.213518578,3765.2159350868674,4100.744978602852,248.31680871205313,0
signal_2,49.79840576067567,94.8120153844357,54.99226559439661,1813834.7883402319,54.982342443434085,1.9039166803871048,0.038232482572576075,-1.529573958682103,23131.50040470258,48799.09404876735,1813834.7883402323,3023.057980567054,1088300873.0041394,873822.7395464098,168224.77472195908,6258.612964104454,214.50323607403098,177.63636464714844,0
signal_3,49.699223622083665,82.9101587533951,54.91003951759051,1808528.4201757605,54.90185819830024,1.6682385097974504,0.03356669155403415,-1.5365629079937284,23081.283306965895,51103.880865143256,1808528.420175761,3014.2140336262682,1085117052.1054568,730913.9446151651,241932.18789975395,5991.267729342571,311.08520116364,208.12269610263294,0
signal_4,49.742456861982745,85.656741052866,54.961353054880085,1811916.687817257,54.95326329129231,1.7220046305821273,0.03461840727650555,-1.5343499492085915,23110.550102144403,49739.666557461635,1811916.687817257,3019.861146362095,1087150012.6903543,762983.2519636073,224977.7893912475,6328.666708055957,148.39722034702135,288.98866261134896,0
signal_5,49.642257470687234,82.2998071312904,54.83331412403477,1804135.16788111,54.835134234070374,1.6578578679643405,0.033396101475507485,-1.5347809435880755,23035.254629809275,50303.61203892798,1804135.1678811102,3006.891946468517,1082481100.7286663,580768.552980931,328102.45208066056,6622.293450371944,2994.668200315602,200.89127111101982,0
signal_6,49.74300612250964,89.9292024075985,54.99649845688143,1813812.202778108,54.982000126982584,1.8078763110157883,0.03634433163454692,-1.529085081981077,23126.331998828296,50084.59505746253,1813812.2027781077,3023.0203379635127,1088287321.6668644,941455.3724506078,139132.37921156746,6797.335094938613,283.12486288859066,272.2435070169772,0
signal_7,49.9088183131814,83.4106582701206,55.13241525779005,1823324.6797091705,55.12598721276519,1.6712609332225172,0.033486285384182725,-1.531658615061825,23236.078876428743,46831.03311183895,1823324.679709171,3038.8744661819514,1093994807.8255029,612714.6701617562,440741.79041100567,3383.002220254258,5729.779287831528,258.42306199089626,0
signal_8,50.19767744680246,86.572268486023,55.45541891936058,1844772.334849848,55.44926111395065,1.7246269725879035,0.03435670852332951,-1.5322106619983467,23446.339751135536,39904.38555063247,1844772.3348498486,3074.620558083081,1106863400.9099088,652088.1960239364,507389.6218178899,3943.85207333196,4434.422971446766,186.64133632491615,0
signal_9,50.181258950879176,85.3515652418137,55.50582471625786,1848201.6475703476,55.50077548362646,1.7008653634091089,0.033894433877675954,-1.5280477084668027,23470.405618475346,40436.43547586589,1848201.6475703472,3080.336079283912,1108920988.5422087,710533.6957523958,740432.5914217517,50075.214168946244,4176.337946223614,211.33676376864713,0
